event_look_change_begin	event_ave_id=36	priority=5	change_weapon=1	need_weapon=1	attackitem_enchant=0	change_back=0	change_armor=-1	standard_item_slot=0	need_equipped=0	unk=0	change_accessory=0	ignore_beautyshop=0	none=0	sword=14780	twohandsword=14782	buster=14788	blunt=14783	twohandblunt=14784	staff=14789	twohandstaff=14790	dagger=14781	pole=14785	fist=14787	bow=14786	etc=14789	dual=14795	dualfist=14787	fishingrod=0	rapier=14792	crossbow=14794	ancientsword=14793	flag=0	dualdagger=14797	ownthing=0	twohandcrossbow=14794	dualblunt=14795	pistol=-1	shooter=-1	shield=13471	sigil=12813	gloves={-1;-1;-1}	chest={-1;-1;-1}	legs={-1;-1;-1}	feet={-1;-1;-1}	back=-1	accessory=-1	accessory1=-1	accessory2=-1	accessory3=-1	accessory4=-1	accessory5=-1	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=37	priority=5	change_weapon=0	need_weapon=1	attackitem_enchant=0	change_back=0	change_armor=-1	standard_item_slot=0	need_equipped=0	unk=0	change_accessory=1	ignore_beautyshop=1	none=0	sword=-1	twohandsword=-1	buster=-1	blunt=-1	twohandblunt=-1	staff=-1	twohandstaff=-1	dagger=-1	pole=-1	fist=-1	bow=-1	etc=-1	dual=-1	dualfist=-1	fishingrod=-1	rapier=-1	crossbow=-1	ancientsword=-1	flag=-1	dualdagger=-1	ownthing=-1	twohandcrossbow=-1	dualblunt=-1	pistol=-1	shooter=-1	shield=-1	sigil=-1	gloves={-1;-1;-1}	chest={-1;-1;-1}	legs={-1;-1;-1}	feet={-1;-1;-1}	back=-1	accessory=-1	accessory1=-1	accessory2=-1	accessory3=-1	accessory4=14799	accessory5=0	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=38	priority=5	change_weapon=0	need_weapon=1	attackitem_enchant=0	change_back=0	change_armor=-1	standard_item_slot=0	need_equipped=0	unk=0	change_accessory=1	ignore_beautyshop=1	none=0	sword=-1	twohandsword=-1	buster=-1	blunt=-1	twohandblunt=-1	staff=-1	twohandstaff=-1	dagger=-1	pole=-1	fist=-1	bow=-1	etc=-1	dual=-1	dualfist=-1	fishingrod=-1	rapier=-1	crossbow=-1	ancientsword=-1	flag=-1	dualdagger=-1	ownthing=-1	twohandcrossbow=-1	dualblunt=-1	pistol=-1	shooter=-1	shield=-1	sigil=-1	gloves={-1;-1;-1}	chest={-1;-1;-1}	legs={-1;-1;-1}	feet={-1;-1;-1}	back=-1	accessory=-1	accessory1=-1	accessory2=-1	accessory3=-1	accessory4=14800	accessory5=0	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=39	priority=5	change_weapon=0	need_weapon=1	attackitem_enchant=0	change_back=0	change_armor=-1	standard_item_slot=0	need_equipped=0	unk=0	change_accessory=1	ignore_beautyshop=1	none=0	sword=-1	twohandsword=-1	buster=-1	blunt=-1	twohandblunt=-1	staff=-1	twohandstaff=-1	dagger=-1	pole=-1	fist=-1	bow=-1	etc=-1	dual=-1	dualfist=-1	fishingrod=-1	rapier=-1	crossbow=-1	ancientsword=-1	flag=-1	dualdagger=-1	ownthing=-1	twohandcrossbow=-1	dualblunt=-1	pistol=-1	shooter=-1	shield=-1	sigil=-1	gloves={-1;-1;-1}	chest={-1;-1;-1}	legs={-1;-1;-1}	feet={-1;-1;-1}	back=-1	accessory=-1	accessory1=-1	accessory2=-1	accessory3=-1	accessory4=14798	accessory5=0	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=44	priority=5	change_weapon=1	need_weapon=1	attackitem_enchant=1	change_back=1	change_armor=-1	standard_item_slot=0	need_equipped=1	unk=0	change_accessory=0	ignore_beautyshop=0	none=0	sword=13457	twohandsword=13458	buster=13459	blunt=13463	twohandblunt=13464	staff=13465	twohandstaff=13466	dagger=13460	pole=13462	fist=13461	bow=13467	etc=13465	dual=52	dualfist=13461	fishingrod=0	rapier=13468	crossbow=13469	ancientsword=13470	flag=0	dualdagger=13884	ownthing=0	twohandcrossbow=13469	dualblunt=52	pistol=-1	shooter=-1	shield=13471	sigil=12813	gloves={13442;13433;13441}	chest={13443;13442;13433}	legs={13441;13443;13439}	feet={13432;13438;13440}	back=13445	accessory=13434	accessory1=13444	accessory2=13446	accessory3=-1	accessory4=-1	accessory5=-1	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=45	priority=5	change_weapon=1	need_weapon=1	attackitem_enchant=2	change_back=1	change_armor=-1	standard_item_slot=0	need_equipped=1	unk=0	change_accessory=0	ignore_beautyshop=0	none=0	sword=13457	twohandsword=13458	buster=13459	blunt=13463	twohandblunt=13464	staff=13465	twohandstaff=13466	dagger=13460	pole=13462	fist=13461	bow=13467	etc=13465	dual=52	dualfist=13461	fishingrod=0	rapier=13468	crossbow=13469	ancientsword=13470	flag=0	dualdagger=13884	ownthing=0	twohandcrossbow=13469	dualblunt=52	pistol=-1	shooter=-1	shield=13471	sigil=12813	gloves={13442;13433;13441}	chest={13443;13442;13433}	legs={13441;13443;13439}	feet={13432;13438;13440}	back=13445	accessory=13434	accessory1=13444	accessory2=13446	accessory3=-1	accessory4=-1	accessory5=-1	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=46	priority=5	change_weapon=1	need_weapon=1	attackitem_enchant=3	change_back=1	change_armor=-1	standard_item_slot=0	need_equipped=1	unk=0	change_accessory=0	ignore_beautyshop=0	none=0	sword=13457	twohandsword=13458	buster=13459	blunt=13463	twohandblunt=13464	staff=13465	twohandstaff=13466	dagger=13460	pole=13462	fist=13461	bow=13467	etc=13465	dual=52	dualfist=13461	fishingrod=0	rapier=13468	crossbow=13469	ancientsword=13470	flag=0	dualdagger=13884	ownthing=0	twohandcrossbow=13469	dualblunt=52	pistol=-1	shooter=-1	shield=13471	sigil=12813	gloves={13452;13436;13451}	chest={13453;13452;13436}	legs={13451;13453;13449}	feet={13435;13448;13450}	back=13455	accessory=13437	accessory1=13454	accessory2=13456	accessory3=-1	accessory4=-1	accessory5=-1	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=54	priority=5	change_weapon=1	need_weapon=1	attackitem_enchant=0	change_back=1	change_armor=-1	standard_item_slot=0	need_equipped=1	unk=0	change_accessory=0	ignore_beautyshop=0	none=0	sword=21732	twohandsword=21733	buster=21741	blunt=21735	twohandblunt=21737	staff=21734	twohandstaff=21736	dagger=21731	pole=21738	fist=21743	bow=21739	etc=21741	dual=21742	dualfist=21743	fishingrod=0	rapier=21740	crossbow=21745	ancientsword=21744	flag=0	dualdagger=16156	ownthing=0	twohandcrossbow=21745	dualblunt=21742	pistol=-1	shooter=-1	shield=2493	sigil=2493	gloves={2448;395;417}	chest={2424;2448;395}	legs={417;2424;2449}	feet={352;2378;2425}	back=2450	accessory=437	accessory1=470	accessory2=2426	accessory3=-1	accessory4=-1	accessory5=-1	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=65	priority=5	change_weapon=1	need_weapon=1	attackitem_enchant=0	change_back=1	change_armor=-1	standard_item_slot=0	need_equipped=1	unk=0	change_accessory=0	ignore_beautyshop=0	none=0	sword=79	twohandsword=78	buster=148	blunt=175	twohandblunt=7901	staff=7893	twohandstaff=210	dagger=234	pole=97	fist=268	bow=287	etc=148	dual=2590	dualfist=268	fishingrod=0	rapier=9304	crossbow=9312	ancientsword=9308	flag=0	dualdagger=35654	ownthing=0	twohandcrossbow=9312	dualblunt=2590	pistol=-1	shooter=-1	shield=110	sigil=110	gloves={5723;2392;0}	chest={5739;5723;2392}	legs={0;5739;5722}	feet={2381;0;5738}	back=5720	accessory=2398	accessory1=2403	accessory2=5736	accessory3=-1	accessory4=-1	accessory5=-1	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=77	priority=6	change_weapon=1	need_weapon=1	attackitem_enchant=0	change_back=1	change_armor=-1	standard_item_slot=0	need_equipped=1	unk=0	change_accessory=1	ignore_beautyshop=1	none=0	sword=36039	twohandsword=36040	buster=36039	blunt=36041	twohandblunt=36043	staff=36042	twohandstaff=36044	dagger=36045	pole=36047	fist=36046	bow=36050	etc=15551	dual=36048	dualfist=36046	fishingrod=15548	rapier=36039	crossbow=36050	ancientsword=36040	flag=0	dualdagger=36049	ownthing=0	twohandcrossbow=36050	dualblunt=36048	pistol=-1	shooter=-1	shield=36119	sigil=36118	gloves={-1;46596;-1}	chest={-1;-1;46596}	legs={-1;-1;-1}	feet={46596;-1;-1}	back=-1	accessory=46596	accessory1=-1	accessory2=-1	accessory3=46602	accessory4=46606	accessory5=0	exceptionItem={-1}	event_look_change_end
event_look_change_begin	event_ave_id=78	priority=5	change_weapon=0	need_weapon=1	attackitem_enchant=0	change_back=1	change_armor=55	standard_item_slot=0	need_equipped=1	unk=0	change_accessory=1	ignore_beautyshop=0	none=0	sword=-1	twohandsword=-1	buster=-1	blunt=-1	twohandblunt=-1	staff=-1	twohandstaff=-1	dagger=-1	pole=-1	fist=-1	bow=-1	etc=-1	dual=-1	dualfist=-1	fishingrod=-1	rapier=-1	crossbow=-1	ancientsword=-1	flag=-1	dualdagger=-1	ownthing=-1	twohandcrossbow=-1	dualblunt=-1	pistol=-1	shooter=-1	shield=-1	sigil=-1	gloves={-1;40240;-1}	chest={-1;-1;40240}	legs={-1;-1;-1}	feet={40240;-1;-1}	back=-1	accessory=40240	accessory1=-1	accessory2=-1	accessory3=0	accessory4=0	accessory5=0	exceptionItem={-1}	event_look_change_end
