use_count_item_begin	item_id=90967	reuse_delay=-1.0	max_use_count=5	fixed_reward_order={3}	use_count_item_end
use_count_item_begin	item_id=91238	reuse_delay=-1.0	max_use_count=15	fixed_reward_order={15}	use_count_item_end
use_count_item_begin	item_id=91638	reuse_delay=-1.0	max_use_count=15	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=71814	reuse_delay=-1.0	max_use_count=15	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=78287	reuse_delay=-1.0	max_use_count=15	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=78288	reuse_delay=-1.0	max_use_count=15	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=938	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=1047	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=1057	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=1059	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=1665	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=1863	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3433	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3434	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3435	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3436	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3437	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3438	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3467	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3468	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3469	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3499	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3832	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3833	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3834	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3835	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3836	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3837	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=3843	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4232	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4359	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4360	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4361	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4362	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4363	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4365	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4393	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4625	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4626	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4627	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=4628	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5009	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5134	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5135	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5136	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5137	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5138	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5140	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5141	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5142	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5143	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5144	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5146	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5147	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5148	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5149	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5150	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=5152	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=686	reuse_delay=0.06	max_use_count=10	fixed_reward_order={5;10}	use_count_item_end
use_count_item_begin	item_id=93481	reuse_delay=-1.0	max_use_count=30	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=93634	reuse_delay=-1.0	max_use_count=7	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=93999	reuse_delay=-1.0	max_use_count=50	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=99026	reuse_delay=-1.0	max_use_count=7	fixed_reward_order={7}	use_count_item_end
use_count_item_begin	item_id=94144	reuse_delay=-1.0	max_use_count=7	fixed_reward_order={7}	use_count_item_end
use_count_item_begin	item_id=94375	reuse_delay=-1.0	max_use_count=30	fixed_reward_order={30}	use_count_item_end
use_count_item_begin	item_id=94378	reuse_delay=-1.0	max_use_count=10	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=94447	reuse_delay=-1.0	max_use_count=14	fixed_reward_order={}	use_count_item_end
use_count_item_begin	item_id=97027	reuse_delay=-1.0	max_use_count=17	fixed_reward_order={17}	use_count_item_end
use_count_item_begin	item_id=72214	reuse_delay=-1.0	max_use_count=30	fixed_reward_order={10;20;30}	use_count_item_end
use_count_item_begin	item_id=72213	reuse_delay=-1.0	max_use_count=30	fixed_reward_order={10;20;30}	use_count_item_end
use_count_item_begin	item_id=78095	reuse_delay=-1.0	max_use_count=30	fixed_reward_order={1;10;15;20;25;30}	use_count_item_end
