dyepotential_exp_begin	slotone={31081;1}	slottwo={31087;1}	commission=400000	prob=1.35022E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96356	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30821;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30822;1}	slottwo={31087;1}	commission=400000	prob=1.35028E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96360	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30825;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30826;1}	slottwo={31087;1}	commission=400000	prob=1.35033E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96364	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30829;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30830;1}	slottwo={31094;1}	commission=600000	prob=1.35039E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96368	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30833;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30834;1}	slottwo={31094;1}	commission=600000	prob=1.35045E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96372	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30837;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31082;1}	slottwo={31087;1}	commission=400000	prob=1.3505E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96376	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30841;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30842;1}	slottwo={31087;1}	commission=400000	prob=1.35056E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96380	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30845;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30846;1}	slottwo={31087;1}	commission=400000	prob=1.35061E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96384	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30849;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30850;1}	slottwo={31094;1}	commission=600000	prob=1.35067E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96388	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30853;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30854;1}	slottwo={31094;1}	commission=600000	prob=1.35073E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31094;1}	slottwo={10176;9}	commission=96392	prob=1.35407E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={10176;9}	slottwo={30857;1}	commission=96630	prob=8.40779E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31083;1}	slottwo={31087;1}	commission=400000	prob=1.35078E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96396	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30861;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={30862;1}	slottwo={31087;1}	commission=400000	prob=1.35084E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={31087;1}	slottwo={6784;6}	commission=96400	prob=1.35398E-40	dyepotential_exp_end
dyepotential_exp_begin	slotone={6784;6}	slottwo={30865;1}	commission=96623	prob=5.6052E-40	dyepotential_exp_end
