variation_option_begin	mineral_item_id=94185	item_group_name=0	option_description1=[Atk. Spd. +5 ~ +100\nCasting Spd. +5 ~ +100\nP. Skill Power +1% ~ +5%\nM. Skill Power +1% ~ +5%]	option_description2=[<font color="bbb58a">P. Atk. +10 ~ +220\nM. Atk. +10 ~ +270\nP. Critical Rate +10 ~ +50</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94186	item_group_name=0	option_description1=[<font color="bbb58a">Atk. Spd. +10 ~ +150\nCasting Spd. +10 ~ +150\nMP Consumption -1% ~ -5%</font>\n<font color="e16d6d">Skill Power +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Atk. +30 ~ +425\nM. Atk. +30 ~ +535</font>\n<font color="e16d6d">Skill Critical Damage +10 ~ +300\nSoulshot/ Spiritshot damage +1% ~ +5%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94209	item_group_name=0	option_description1=[Atk. Spd. +5 ~ +100\nCasting Spd. +5 ~ +100\nP. Skill Power +1% ~ +5%\nM. Skill Power +1% ~ +5%]	option_description2=[<font color="bbb58a">P. Atk. +10 ~ +220\nM. Atk. +10 ~ +270\nP. Critical Rate +10 ~ +50</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94210	item_group_name=0	option_description1=[<font color="bbb58a">Atk. Spd. +10 ~ +150\nCasting Spd. +10 ~ +150\nMP Consumption -1% ~ -5%</font>\n<font color="e16d6d">Skill Power +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Atk. +30 ~ +425\nM. Atk. +30 ~ +535</font>\n<font color="e16d6d">Skill Critical Damage +10 ~ +300\nSoulshot/ Spiritshot damage +1% ~ +5%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=6	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=6	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="c170ca">Bow/ Magic Resistance +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="c170ca">Debuff/ Anomaly Resistance +1% ~ +10%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=3	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=3	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>\n<font color="e16d6d">Received damage -1% ~ -5%</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>\n<font color="c170ca">All received Critical Damage -1% ~ -15%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=7	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=7	option_description1=[<font color="bbb58a">Max HP +25 ~ +480\nMax MP +25 ~ +480</font>]	option_description2=[<font color="bbb58a">P. Def. +8 ~ +110\nM. Def. +8 ~ +120</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=5	option_description1=[Max HP +10 ~ +180\nMax MP +10 ~ +180]	option_description2=[<font color="bbb58a">P. Def. +4 ~ +96\nM. Def. +4 ~ +96</font>]	option_description3=[]	variation_option_end
