MinimapRegion_begin	regionid=1	IconTexNormal=[L2WorldMap.WorldIcon.16_25_C0]	IconTexOver=[L2WorldMap.WorldIcon.16_25_C0_a]	IconTexPushed=[L2WorldMap.WorldIcon.16_25_C0_a]	WorldLocX=-119676	WorldLocY=225465	Width=64	Height=64	DescOffsetX=-4	DescOffsetY=30	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=2	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-105287	WorldLocY=235457	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={0;2;3;1;9;12;14}	MinimapRegion_end
MinimapRegion_begin	regionid=3	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-89500	WorldLocY=87776	Width=70	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=4	IconTexNormal=[L2WorldMap.WorldIcon.18_24_camp]	IconTexOver=[L2WorldMap.WorldIcon.18_24_camp_a]	IconTexPushed=[L2WorldMap.WorldIcon.18_24_camp_a]	WorldLocX=-100691	WorldLocY=103163	Width=64	Height=59	DescOffsetX=-17	DescOffsetY=41	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=5	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-72114	WorldLocY=100965	Width=67	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=6	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-86303	WorldLocY=153123	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=7	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-103489	WorldLocY=150725	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={0;2;3;8;9;12;14}	MinimapRegion_end
MinimapRegion_begin	regionid=8	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-92098	WorldLocY=141932	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=9	IconTexNormal=[L2WorldMap.WorldIcon.17_23_0]	IconTexOver=[L2WorldMap.WorldIcon.17_23_0_a]	IconTexPushed=[L2WorldMap.WorldIcon.17_23_0_a]	WorldLocX=-81706	WorldLocY=159118	Width=64	Height=101	DescOffsetX=12	DescOffsetY=58	DescFontName=[MapFontSize10]	applycountry={-1}	MinimapRegion_end
MinimapRegion_begin	regionid=10	IconTexNormal=[L2WorldMap.WorldIcon.Font_Blank]	IconTexOver=[L2WorldMap.WorldIcon.Font_Blank]	IconTexPushed=[L2WorldMap.WorldIcon.Font_Blank]	WorldLocX=-90099	WorldLocY=237856	Width=83	Height=16	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize10]	applycountry={0;2;3;8;9;12;14}	MinimapRegion_end
MinimapRegion_begin	regionid=11	IconTexNormal=[None]	IconTexOver=[None]	IconTexPushed=[None]	WorldLocX=-109884	WorldLocY=245449	Width=0	Height=0	DescOffsetX=0	DescOffsetY=0	DescFontName=[MapFontSize9]	applycountry={0;2;3;9;12;14}	MinimapRegion_end
