ride_data_begin	ride_type=5	ride_npc_id=13521	attach_bone_name=[Dummy01]	mfighter_loc={0.0;0.0;25.2}	ffighter_loc={-0.5;1.0;26.5}	mmagic_loc={0.0;0.0;26.2}	fmagic_loc={1.0;0.0;27.0}	melf_loc={0.0;0.0;20.5}	felf_loc={-0.5;0.0;23.0}	mdarkelf_loc={-1.7;1.0;27.5}	fdarkelf_loc={0.1;0.0;26.0}	mdwarf_loc={0.0;0.3;25.5}	fdwarf_loc={0.5;0.0;25.5}	morc_loc={0.0;0.0;32.0}	forc_loc={-1.0;0.0;31.0}	mshaman_loc={0.0;0.0;30.0}	fshaman_loc={0.0;1.0;29.5}	mkamael_loc={0.0;0.0;28.5}	fkamael_loc={0.0;0.0;24.7}	mertheia_loc={0.0;0.0;22.0}	fertheia_loc={0.0;0.0;23.0}	msylph_loc={0.0;0.0;22.0}	fsylph_loc={0.0;0.0;23.0}	mHighElf_loc={-1.7;1.0;27.5}	fHighElf_loc={0.1;0.0;26.0}	empty_loc={0.0;0.0;28.5}	mfighter_rot={0;0;0}	ffighter_rot={0;0;0}	mmagic_rot={0;-2048;0}	fmagic_rot={0;0;0}	melf_rot={0;0;0}	felf_rot={0;0;0}	mdarkelf_rot={786;0;0}	fdarkelf_rot={0;-786;0}	mdwarf_rot={0;-786;0}	fdwarf_rot={0;-1024;0}	morc_rot={0;-1604;0}	forc_rot={0;-786;0}	mshaman_rot={0;-256;0}	fshaman_rot={0;-512;0}	mkamael_rot={0;786;0}	fkamael_rot={0;0;0}	mertheia_rot={256;0;0}	fertheia_rot={0;0;0}	msylph_rot={0;0;0}	fsylph_rot={0;0;0}	mHighElf_rot={0;0;0}	fHighElf_rot={0;-786;0}	empty_rot={0;-786;0}	nameoffset={0.0;0.0;0.0;0.0;0.0;0.0;4.2E-45;1.8948E-41;1.46765E-40;0.0;0.0;25.2;0.0;0.0;26.5;0.0;0.0;26.2;0.0;0.0;26.5;0.0;0.0}	ride_data_end
ride_data_begin	ride_type=1101266944	ride_npc_id=0	attach_bone_name=[None]	mfighter_loc={22.0;0.0;0.0}	ffighter_loc={28.0;0.0;0.0}	mmagic_loc={26.0;0.0;0.0}	fmagic_loc={25.5;0.0;0.0}	melf_loc={25.5;0.0;0.0}	felf_loc={31.5;0.0;0.0}	mdarkelf_loc={30.0;0.0;0.0}	fdarkelf_loc={30.0;0.0;0.0}	mdwarf_loc={28.5;0.0;0.0}	fdwarf_loc={28.5;0.0;0.0}	morc_loc={24.7;-1.0;0.0}	forc_loc={23.0;0.0;0.0}	mshaman_loc={23.7;-1.0;0.0}	fshaman_loc={23.0;0.0;0.0}	mkamael_loc={23.7;0.0;0.0}	fkamael_loc={28.0;0.0;0.0}	mertheia_loc={26.0;0.0;0.0}	fertheia_loc={28.5;0.0;0.0}	msylph_loc={0.0;0.0;0.0}	fsylph_loc={0.0;0.0;0.0}	mHighElf_loc={0.0;0.0;0.0}	fHighElf_loc={0.0;0.0;0.0}	empty_loc={0.0;0.0;0.0}	mfighter_rot={0;0;0}	ffighter_rot={0;0;0}	mmagic_rot={0;0;0}	fmagic_rot={0;0;0}	melf_rot={0;0;0}	felf_rot={0;0;0}	mdarkelf_rot={0;0;0}	fdarkelf_rot={0;0;0}	mdwarf_rot={0;0;0}	fdwarf_rot={0;0;0}	morc_rot={0;0;0}	forc_rot={0;0;0}	mshaman_rot={0;0;0}	fshaman_rot={0;0;0}	mkamael_rot={0;0;0}	fkamael_rot={0;0;0}	mertheia_rot={0;0;0}	fertheia_rot={0;0;0}	msylph_rot={0;0;0}	fsylph_rot={0;3;13523}	mHighElf_rot={104735;0;0}	fHighElf_rot={1103731098;0;0}	empty_rot={1104412672;0;0}	nameoffset={26.2;0.0;0.0;26.5;0.0;0.0;20.5;0.0;0.0;22.0;0.0;0.0;28.0;0.0;0.0;26.0;0.0;0.0;25.5;0.0;0.0;25.5;0.0}	ride_data_end
ride_data_begin	ride_type=0	ride_npc_id=1107034112	attach_bone_name=[None]	mfighter_loc={0.0;30.0;0.0}	ffighter_loc={0.0;30.0;0.0}	mmagic_loc={0.0;28.5;0.0}	fmagic_loc={0.0;28.5;0.0}	melf_loc={0.0;24.7;0.0}	felf_loc={0.0;23.0;-1.5}	mdarkelf_loc={0.0;22.5;0.0}	fdarkelf_loc={0.0;23.0;-1.5}	mdwarf_loc={0.0;22.5;0.0}	fdwarf_loc={0.0;28.0;0.0}	morc_loc={0.0;26.0;0.0}	forc_loc={0.0;28.5;0.0}	mshaman_loc={0.0;0.0;0.0}	fshaman_loc={0.0;0.0;0.0}	mkamael_loc={0.0;0.0;0.0}	fkamael_loc={0.0;0.0;0.0}	mertheia_loc={0.0;0.0;0.0}	fertheia_loc={0.0;0.0;0.0}	msylph_loc={0.0;0.0;0.0}	fsylph_loc={0.0;0.0;0.0}	mHighElf_loc={0.0;0.0;0.0}	fHighElf_loc={0.0;0.0;0.0}	empty_loc={0.0;0.0;0.0}	mfighter_rot={0;0;0}	ffighter_rot={0;0;0}	mmagic_rot={0;0;0}	fmagic_rot={0;0;0}	melf_rot={0;0;0}	felf_rot={0;0;0}	mdarkelf_rot={0;0;0}	fdarkelf_rot={0;0;0}	mdwarf_rot={0;0;0}	fdwarf_rot={0;0;0}	morc_rot={0;0;0}	forc_rot={0;0;0}	mshaman_rot={0;0;0}	fshaman_rot={0;0;4}	mkamael_rot={13524;12825;0}	fkamael_rot={0;1103731098;0}	mertheia_rot={0;1104412672;0}	fertheia_rot={0;1104255386;0}	msylph_rot={0;1104412672;0}	fsylph_rot={0;1101266944;0}	mHighElf_rot={0;1102053376;0}	fHighElf_rot={0;1105199104;0}	empty_rot={0;1104150528;0}	nameoffset={0.0;25.5;0.0;0.0;25.5;0.0;0.0;31.5;0.0;0.0;30.0;0.0;0.0;30.0;0.0;0.0;28.5;0.0;0.0;28.5;0.0;0.0;24.7}	ride_data_end
ride_data_begin	ride_type=-1082130432	ride_npc_id=0	attach_bone_name=[<StrID:1102053376>]	mfighter_loc={0.0;0.0;22.7}	ffighter_loc={-1.0;0.0;22.0}	mmagic_loc={0.0;0.0;22.7}	fmagic_loc={0.0;0.0;28.0}	melf_loc={0.0;0.0;26.0}	felf_loc={0.0;0.0;28.5}	mdarkelf_loc={0.0;0.0;0.0}	fdarkelf_loc={0.0;0.0;0.0}	mdwarf_loc={0.0;0.0;0.0}	fdwarf_loc={0.0;0.0;0.0}	morc_loc={0.0;0.0;0.0}	forc_loc={0.0;0.0;0.0}	mshaman_loc={0.0;0.0;0.0}	fshaman_loc={0.0;0.0;0.0}	mkamael_loc={0.0;0.0;0.0}	fkamael_loc={0.0;0.0;0.0}	mertheia_loc={0.0;0.0;0.0}	fertheia_loc={0.0;0.0;0.0}	msylph_loc={0.0;0.0;0.0}	fsylph_loc={0.0;0.0;0.0}	mHighElf_loc={0.0;0.0;0.0}	fHighElf_loc={0.0;0.0;0.0}	empty_loc={0.0;0.0;0.0}	mfighter_rot={0;0;0}	ffighter_rot={0;0;0}	mmagic_rot={0;0;0}	fmagic_rot={0;0;0}	melf_rot={0;0;0}	felf_rot={0;0;0}	mdarkelf_rot={0;0;0}	fdarkelf_rot={0;0;0}	mdwarf_rot={4;13525;12825}	fdwarf_rot={0;0;1103731098}	morc_rot={0;0;1104412672}	forc_rot={0;0;1104255386}	mshaman_rot={0;0;1104412672}	fshaman_rot={0;0;1101266944}	mkamael_rot={0;0;1102053376}	fkamael_rot={0;0;1105199104}	mertheia_rot={0;0;1104150528}	fertheia_rot={0;0;1103888384}	msylph_rot={0;0;1103888384}	fsylph_rot={0;0;1107034112}	mHighElf_rot={0;0;1106247680}	fHighElf_rot={0;0;1106247680}	empty_rot={0;0;1105461248}	nameoffset={0.0;0.0;28.5;0.0;0.0;24.7;0.0;0.0;23.5;0.0;0.0;23.7;0.0;0.0;23.5;0.0;0.0;23.7;0.0;0.0;28.0;0.0;0.0}	ride_data_end
ride_data_begin	ride_type=1104150528	ride_npc_id=0	attach_bone_name=[None]	mfighter_loc={28.5;0.0;0.0}	ffighter_loc={0.0;0.0;0.0}	mmagic_loc={0.0;0.0;0.0}	fmagic_loc={0.0;0.0;0.0}	melf_loc={0.0;0.0;0.0}	felf_loc={0.0;0.0;0.0}	mdarkelf_loc={0.0;0.0;0.0}	fdarkelf_loc={0.0;0.0;0.0}	mdwarf_loc={0.0;0.0;0.0}	fdwarf_loc={0.0;0.0;0.0}	morc_loc={0.0;0.0;0.0}	forc_loc={0.0;0.0;0.0}	mshaman_loc={0.0;0.0;0.0}	fshaman_loc={0.0;0.0;0.0}	mkamael_loc={0.0;0.0;0.0}	fkamael_loc={0.0;0.0;0.0}	mertheia_loc={0.0;0.0;0.0}	fertheia_loc={0.0;0.0;0.0}	msylph_loc={0.0;0.0;0.0}	fsylph_loc={0.0;0.0;0.0}	mHighElf_loc={0.0;0.0;0.0}	fHighElf_loc={0.0;0.0;0.0}	empty_loc={0.0;0.0;0.0}	mfighter_rot={0;0;0}	ffighter_rot={0;0;0}	mmagic_rot={0;3;9016}	fmagic_rot={12825;0;0}	melf_rot={1103731098;0;0}	felf_rot={1103888384;0;0}	mdarkelf_rot={1104255386;0;0}	fdarkelf_rot={1104412672;0;0}	mdwarf_rot={1101266944;0;0}	fdwarf_rot={1102053376;0;0}	morc_rot={1105199104;0;0}	forc_rot={1104150528;0;0}	mshaman_rot={1103888384;0;0}	fshaman_rot={1103888384;0;0}	mkamael_rot={1107034112;0;0}	fkamael_rot={1106247680;0;0}	mertheia_rot={1106247680;0;0}	fertheia_rot={1105461248;0;0}	msylph_rot={1105461248;0;0}	fsylph_rot={1103468954;-1082130432;0}	mHighElf_rot={1102577664;0;0}	fHighElf_rot={1102944666;-1082130432;0}	empty_rot={1102577664;0;0}	nameoffset={23.7;0.0;0.0;28.0;0.0;0.0;26.0;0.0;0.0;28.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0}	ride_data_end
ride_data_begin	ride_type=0	ride_npc_id=0	attach_bone_name=[None]	mfighter_loc={0.0;0.0;0.0}	ffighter_loc={0.0;0.0;0.0}	mmagic_loc={0.0;0.0;0.0}	fmagic_loc={0.0;0.0;0.0}	melf_loc={0.0;0.0;0.0}	felf_loc={0.0;0.0;0.0}	mdarkelf_loc={0.0;0.0;0.0}	fdarkelf_loc={0.0;0.0;0.0}	mdwarf_loc={0.0;0.0;0.0}	fdwarf_loc={0.0;0.0;0.0}	morc_loc={0.0;0.0;0.0}	forc_loc={0.0;0.0;0.0}	mshaman_loc={0.0;0.0;0.0}	fshaman_loc={0.0;0.0;0.0}	mkamael_loc={0.0;0.0;0.0}	fkamael_loc={0.0;0.0;0.0}	mertheia_loc={0.0;0.0;0.0}	fertheia_loc={0.0;0.0;0.0}	msylph_loc={0.0;0.0;0.0}	fsylph_loc={0.0;0.0;4.2E-45}	mHighElf_loc={1.9087E-41;1.46765E-40;0.0}	fHighElf_loc={0.0;25.2;0.0}	empty_loc={0.0;25.5;0.0}	mfighter_rot={0;1104255386;0}	ffighter_rot={0;1104412672;0}	mmagic_rot={0;1101266944;0}	fmagic_rot={0;1102053376;0}	melf_rot={0;1105199104;0}	felf_rot={0;1104150528;0}	mdarkelf_rot={0;1103888384;0}	fdarkelf_rot={0;1103888384;0}	mdwarf_rot={0;1107034112;0}	fdwarf_rot={0;1106247680;0}	morc_rot={0;1106247680;0}	forc_rot={0;1105461248;0}	mshaman_rot={0;1105461248;0}	fshaman_rot={0;1103468954;-1082130432}	mkamael_rot={0;1102577664;-1082130432}	fkamael_rot={0;1102053376;-1082130432}	mertheia_rot={0;1102577664;-1082130432}	fertheia_rot={0;1102053376;0}	msylph_rot={0;1105199104;0}	fsylph_rot={0;1104150528;0}	mHighElf_rot={0;1105461248;0}	fHighElf_rot={0;0;0}	empty_rot={0;0;0}	nameoffset={0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0}	ride_data_end
ride_data_begin	ride_type=0	ride_npc_id=0	attach_bone_name=[None]	mfighter_loc={0.0;0.0;0.0}	ffighter_loc={0.0;0.0;0.0}	mmagic_loc={0.0;0.0;0.0}	fmagic_loc={0.0;0.0;0.0}	melf_loc={0.0;0.0;0.0}	felf_loc={0.0;0.0;0.0}	mdarkelf_loc={0.0;0.0;0.0}	fdarkelf_loc={0.0;0.0;0.0}	mdwarf_loc={0.0;0.0;0.0}	fdwarf_loc={0.0;0.0;0.0}	morc_loc={0.0;0.0;0.0}	forc_loc={0.0;0.0;0.0}	mshaman_loc={0.0;0.0;0.0}	fshaman_loc={0.0;0.0;0.0}	mkamael_loc={5.6E-45;2.2352E-41;1.46765E-40}	fkamael_loc={0.0;0.0;25.2}	mertheia_loc={0.0;0.0;26.5}	fertheia_loc={0.0;0.0;26.2}	msylph_loc={0.0;0.0;26.5}	fsylph_loc={0.0;0.0;20.5}	mHighElf_loc={0.0;0.0;22.0}	fHighElf_loc={0.0;0.0;28.0}	empty_loc={0.0;0.0;26.0}	mfighter_rot={0;0;1103888384}	ffighter_rot={0;0;1103888384}	mmagic_rot={0;0;1107034112}	fmagic_rot={0;0;1106247680}	melf_rot={0;0;1106247680}	felf_rot={0;0;1105461248}	mdarkelf_rot={0;0;1105461248}	fdarkelf_rot={0;0;1103468954}	mdwarf_rot={-1082130432;0;1102053376}	fdwarf_rot={0;0;1102420378}	morc_rot={-1082130432;0;1102053376}	forc_rot={0;0;1102420378}	mshaman_rot={0;0;1105199104}	fshaman_rot={0;0;1104150528}	mkamael_rot={0;0;1105461248}	fkamael_rot={0;0;0}	mertheia_rot={0;0;0}	fertheia_rot={0;0;0}	msylph_rot={0;0;0}	fsylph_rot={0;0;0}	mHighElf_rot={0;0;0}	fHighElf_rot={0;0;0}	empty_rot={0;0;0}	nameoffset={0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0}	ride_data_end
ride_data_begin	ride_type=0	ride_npc_id=0	attach_bone_name=[None]	mfighter_loc={0.0;0.0;0.0}	ffighter_loc={0.0;0.0;0.0}	mmagic_loc={0.0;0.0;0.0}	fmagic_loc={0.0;0.0;0.0}	melf_loc={0.0;0.0;0.0}	felf_loc={0.0;0.0;0.0}	mdarkelf_loc={0.0;0.0;0.0}	fdarkelf_loc={0.0;0.0;0.0}	mdwarf_loc={0.0;5.6E-45;2.2354E-41}	fdwarf_loc={1.46765E-40;0.0;0.0}	morc_loc={25.2;0.0;0.0}	forc_loc={26.5;0.0;0.0}	mshaman_loc={26.2;0.0;0.0}	fshaman_loc={26.5;0.0;0.0}	mkamael_loc={20.5;0.0;0.0}	fkamael_loc={22.0;0.0;0.0}	mertheia_loc={28.0;0.0;0.0}	fertheia_loc={26.0;0.0;0.0}	msylph_loc={25.5;0.0;0.0}	fsylph_loc={25.5;0.0;0.0}	mHighElf_loc={31.5;0.0;0.0}	fHighElf_loc={30.0;0.0;0.0}	empty_loc={30.0;0.0;0.0}	mfighter_rot={1105461248;0;0}	ffighter_rot={1105461248;0;0}	mmagic_rot={1103468954;-1082130432;0}	fmagic_rot={1102053376;0;0}	melf_rot={1102420378;-1082130432;0}	felf_rot={1102053376;0;0}	mdarkelf_rot={1102420378;0;0}	fdarkelf_rot={1105199104;0;0}	mdwarf_rot={1104150528;0;0}	fdwarf_rot={1105461248;0;0}	morc_rot={0;0;0}	forc_rot={0;0;0}	mshaman_rot={0;0;0}	fshaman_rot={0;0;0}	mkamael_rot={0;0;0}	fkamael_rot={0;0;0}	mertheia_rot={0;0;0}	fertheia_rot={0;0;0}	msylph_rot={0;0;0}	fsylph_rot={0;0;0}	mHighElf_rot={0;0;0}	fHighElf_rot={0;0;0}	empty_rot={0;0;0}	nameoffset={0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0}	ride_data_end
ride_data_begin	ride_type=0	ride_npc_id=0	attach_bone_name=[None]	mfighter_loc={0.0;0.0;0.0}	ffighter_loc={0.0;0.0;0.0}	mmagic_loc={0.0;0.0;5.6E-45}	fmagic_loc={2.2355E-41;1.46765E-40;0.0}	melf_loc={0.0;25.2;0.0}	felf_loc={0.0;26.5;0.0}	mdarkelf_loc={0.0;26.2;0.0}	fdarkelf_loc={0.0;26.5;0.0}	mdwarf_loc={0.0;20.5;0.0}	fdwarf_loc={0.0;22.0;0.0}	morc_loc={0.0;28.0;0.0}	forc_loc={0.0;26.0;0.0}	mshaman_loc={0.0;25.5;0.0}	fshaman_loc={0.0;25.5;0.0}	mkamael_loc={0.0;31.5;0.0}	fkamael_loc={0.0;30.0;0.0}	mertheia_loc={0.0;30.0;0.0}	fertheia_loc={0.0;28.5;0.0}	msylph_loc={0.0;28.5;0.0}	fsylph_loc={0.0;24.7;-1.0}	mHighElf_loc={0.0;22.0;0.0}	fHighElf_loc={0.0;22.7;-1.0}	empty_loc={0.0;22.0;0.0}	mfighter_rot={0;1102420378;0}	ffighter_rot={0;1105199104;0}	mmagic_rot={0;1104150528;0}	fmagic_rot={0;1105461248;0}	melf_rot={0;0;0}	felf_rot={0;0;0}	mdarkelf_rot={0;0;0}	fdarkelf_rot={0;0;0}	mdwarf_rot={0;0;0}	fdwarf_rot={0;0;0}	morc_rot={0;0;0}	forc_rot={0;0;0}	mshaman_rot={0;0;0}	fshaman_rot={0;0;0}	mkamael_rot={0;0;0}	fkamael_rot={0;0;0}	mertheia_rot={0;0;0}	fertheia_rot={0;0;0}	msylph_rot={0;0;0}	fsylph_rot={0;0;0}	mHighElf_rot={0;0;0}	fHighElf_rot={0;0;0}	empty_rot={0;0;0}	nameoffset={0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6E-45;2.2356E-41;1.4677E-40;2.0;0.0;24.2}	ride_data_end
ride_data_begin	ride_type=1073741824	ride_npc_id=0	attach_bone_name=[<StrID:1103888384>]	mfighter_loc={2.0;0.0;25.2}	ffighter_loc={2.0;0.0;25.5}	mmagic_loc={2.0;0.0;19.5}	fmagic_loc={2.0;0.0;21.0}	melf_loc={2.0;0.0;25.0}	felf_loc={2.0;0.0;25.0}	mdarkelf_loc={2.0;0.0;23.0}	fdarkelf_loc={2.0;0.0;23.0}	mdwarf_loc={2.0;0.0;30.5}	fdwarf_loc={2.0;0.0;29.0}	morc_loc={2.0;0.0;29.0}	forc_loc={2.0;0.0;27.5}	mshaman_loc={2.0;0.0;27.5}	fshaman_loc={2.0;0.0;23.7}	mkamael_loc={1.0;0.0;21.0}	fkamael_loc={2.0;0.0;21.7}	mertheia_loc={1.0;0.0;21.0}	fertheia_loc={2.0;0.0;21.7}	msylph_loc={2.0;0.0;25.0}	fsylph_loc={2.0;0.0;25.0}	mHighElf_loc={2.0;0.0;27.5}	fHighElf_loc={0.0;0.0;0.0}	empty_loc={0.0;0.0;0.0}	mfighter_rot={0;0;0}	ffighter_rot={0;0;0}	mmagic_rot={0;0;0}	fmagic_rot={0;0;0}	melf_rot={0;0;0}	felf_rot={0;0;0}	mdarkelf_rot={0;0;0}	fdarkelf_rot={0;0;0}	mdwarf_rot={0;0;0}	fdwarf_rot={0;0;0}	morc_rot={0;0;0}	forc_rot={0;0;0}	mshaman_rot={0;0;0}	fshaman_rot={0;0;0}	mkamael_rot={0;0;0}	fkamael_rot={0;0;0}	mertheia_rot={0;0;0}	fertheia_rot={0;0;0}	msylph_rot={0;0;0}	fsylph_rot={0;0;0}	mHighElf_rot={0;0;0}	fHighElf_rot={0;0;0}	empty_rot={0;0;0}	nameoffset={2.8E-45;2.2358E-41;1.46764E-40;0.0;0.0;25.2;0.0;0.0;26.5;0.0;0.0;26.2;0.0;0.0;26.5;0.0;0.0;20.5;0.0;0.0;22.0;0.0;0.0}	ride_data_end
ride_data_begin	ride_type=1105199104	ride_npc_id=0	attach_bone_name=[None]	mfighter_loc={26.0;0.0;0.0}	ffighter_loc={25.5;0.0;0.0}	mmagic_loc={25.5;0.0;0.0}	fmagic_loc={31.5;0.0;0.0}	melf_loc={30.0;0.0;0.0}	felf_loc={30.0;0.0;0.0}	mdarkelf_loc={28.5;0.0;0.0}	fdarkelf_loc={28.5;0.0;0.0}	mdwarf_loc={24.7;0.0;0.0}	fdwarf_loc={22.0;3.0;0.0}	morc_loc={22.0;0.0;0.0}	forc_loc={22.0;3.0;0.0}	mshaman_loc={22.0;0.0;0.0}	fshaman_loc={28.0;0.0;0.0}	mkamael_loc={26.0;-3.0;0.0}	fkamael_loc={28.5;0.0;0.0}	mertheia_loc={0.0;0.0;0.0}	fertheia_loc={0.0;0.0;0.0}	msylph_loc={0.0;0.0;0.0}	fsylph_loc={0.0;0.0;0.0}	mHighElf_loc={0.0;0.0;0.0}	fHighElf_loc={0.0;0.0;0.0}	empty_loc={0.0;0.0;0.0}	mfighter_rot={0;0;0}	ffighter_rot={0;0;0}	mmagic_rot={0;0;0}	fmagic_rot={0;0;0}	melf_rot={0;0;0}	felf_rot={0;0;0}	mdarkelf_rot={0;0;0}	fdarkelf_rot={0;0;0}	mdwarf_rot={0;0;0}	fdwarf_rot={0;0;0}	morc_rot={0;0;0}	forc_rot={0;0;0}	mshaman_rot={0;0;0}	fshaman_rot={0;0;0}	mkamael_rot={0;0;0}	fkamael_rot={0;0;0}	mertheia_rot={0;0;0}	fertheia_rot={0;4;15959}	msylph_rot={104736;0;0}	fsylph_rot={1103731098;0;0}	mHighElf_rot={1104412672;0;0}	fHighElf_rot={1104255386;0;0}	empty_rot={1104412672;0;0}	nameoffset={20.5;0.0;0.0;22.0;0.0;0.0;28.0;0.0;0.0;26.0;0.0;0.0;25.5;0.0;0.0;25.5;0.0;0.0;31.5;0.0;0.0;30.0;0.0}	ride_data_end
