setitem_group_begin	num=0	essential_setitem_id={{23;29358;70096};{2386;29364;70097};{43;29446;70095}}	essential_setitem_desc={[Нет эффекта от комплекта];[Физ. Защ. +2, Макс. HP +41]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={}	setitem_group_end
setitem_group_begin	num=1	essential_setitem_id={{1146};{1147}}	essential_setitem_desc={[Физ. Защ. +3%, Макс. HP +41]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={}	setitem_group_end
setitem_group_begin	num=2	essential_setitem_id={{58;94902;29344};{59;94903;29352};{47;94901;29450}}	essential_setitem_desc={[Макс. HP +126];[Сопротивление заражению +20%]}	additional_setitem_id={{628;95126}}	additional_setitem_desc={[Шанс блока щитом +2,63%]}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +360, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: эффект Гнева Вампира +2%, время перезарядки физ. умений -4%]};{9;[+9 комплект: сопротивление шоку +10%]};{10;[+10 комплект: сопротивление атакам из лука +10%, Физ. Защ. +6%]}}	setitem_group_end
setitem_group_begin	num=3	essential_setitem_id={{60;94904};{517;95115}}	essential_setitem_desc={[Лимит веса +5795, Маг. Защ. +5%, сопротивление параличу +10%]}	additional_setitem_id={{107;94933}}	additional_setitem_desc={[Сопротивление маг. урону +3%]}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +360, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: эффект Гнева Вампира +2%, время перезарядки физ. умений -4%]};{9;[+9 комплект: сопротивление шоку +10%]};{10;[+10 комплект: сопротивление атакам из лука +10%, Физ. Защ. +6%]}}	setitem_group_end
setitem_group_begin	num=4	essential_setitem_id={{352;95064;29342};{2378;95143;29348};{2411;95147;29449}}	essential_setitem_desc={[Макс. HP +153];[Физ. Защ. +5%]}	additional_setitem_id={{2493;95180}}	additional_setitem_desc={[Макс. HP +20]}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +360, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: эффект Гнева Вампира +2%, время перезарядки физ. умений -4%]};{9;[+9 комплект: сопротивление шоку +10%]};{10;[+10 комплект: сопротивление атакам из лука +10%, Физ. Защ. +6%]}}	setitem_group_end
setitem_group_begin	num=5	essential_setitem_id={{354;95066};{381;95073};{2413;95149}}	essential_setitem_desc={[Макс. HP +198, сопротивление усыплению +20%, сопротивление удержанию +20%];[Физ. Защ. +5%]}	additional_setitem_id={{2495;95182}}	additional_setitem_desc={[Шанс блока щитом +5,26%]}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +360, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: эффект Гнева Вампира +2%, время перезарядки физ. умений -4%]};{9;[+9 комплект: сопротивление шоку +10%]};{10;[+10 комплект: сопротивление атакам из лука +10%, Физ. Защ. +6%]}}	setitem_group_end
setitem_group_begin	num=6	essential_setitem_id={{358;92367;93502};{2380;92368;93506};{90461;92369;93550};{5718;92370;93526};{5734;92371;93538}}	essential_setitem_desc={[СИЛ +3, ВЫН -1, ЛВК -2, бонус восстановления HP +5.24%];[ЛВК +1, Скорость +7];[ВЫН +1, сопротивление шоку +30%];[ЛВК +1, Маг. Защ. +44]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +360, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: эффект Гнева Вампира +2%, время перезарядки физ. умений -4%]};{9;[+9 комплект: сопротивление шоку +10%]};{10;[+10 комплект: сопротивление атакам из лука +10%, Физ. Защ. +6%]}}	setitem_group_end
setitem_group_begin	num=7	essential_setitem_id={{356;93642};{2414;93639}}	essential_setitem_desc={[Макс. HP +270, Физ. Защ. +5%, сопротивление шоку +10%]}	additional_setitem_id={{2497;95184}}	additional_setitem_desc={[Шанс блока щитом +5,26%]}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +360, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: эффект Гнева Вампира +2%, время перезарядки физ. умений -4%]};{9;[+9 комплект: сопротивление шоку +10%]};{10;[+10 комплект: сопротивление атакам из лука +10%, Физ. Защ. +6%]}}	setitem_group_end
setitem_group_begin	num=8	essential_setitem_id={{357;93501};{383;93503};{90458;93547};{5710;93520};{5726;93532}}	essential_setitem_desc={[Бонус восстановления HP +5.24%];[Макс. HP +294, сопротивление параличу +30%];[Физ. Защ. +5.26%];[Маг. Защ. +44]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +360, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: эффект Гнева Вампира +2%, время перезарядки физ. умений -4%]};{9;[+9 комплект: сопротивление шоку +10%]};{10;[+10 комплект: сопротивление атакам из лука +10%, Физ. Защ. +6%]}}	setitem_group_end
setitem_group_begin	num=9	essential_setitem_id={{394;95078;29371};{416;95088;29376};{2422;95150;29439}}	essential_setitem_desc={[Макс. MP +80];[Сила Физ. Крит. Атк. +10]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +20, Макс. MP +80, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: Скорость +4, мощность физ./ маг. умений +7%]};{9;[+9 комплект: сопротивление безмолвию/ устрашению/ параличу/ шоку +5%]};{10;[+10 комплект: сопротивление маг. урону +15%, Маг. Защ. +7%]}}	setitem_group_end
setitem_group_begin	num=10	essential_setitem_id={{395;95079;29372};{417;95089;29377};{2424;95152;29434}}	essential_setitem_desc={[Макс. MP +92];[Сила Физ. Крит. Атк. +15]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +20, Макс. MP +80, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: Скорость +4, мощность физ./ маг. умений +7%]};{9;[+9 комплект: сопротивление безмолвию/ устрашению/ параличу/ шоку +5%]};{10;[+10 комплект: сопротивление маг. урону +15%, Маг. Защ. +7%]}}	setitem_group_end
setitem_group_begin	num=11	essential_setitem_id={{397;95081};{2387;95144};{62;94906}}	essential_setitem_desc={[Физ. Уклонение +4];[Сопротивление заражению +30%]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +20, Макс. MP +80, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: Скорость +4, мощность физ./ маг. умений +7%]};{9;[+9 комплект: сопротивление безмолвию/ устрашению/ параличу/ шоку +5%]};{10;[+10 комплект: сопротивление маг. урону +15%, Маг. Защ. +7%]}}	setitem_group_end
setitem_group_begin	num=12	essential_setitem_id={{398;95082};{418;95090};{2431;95158}}	essential_setitem_desc={[Сопротивление усыплению/ удержанию +20%];[СИЛ +4, ВЫН -1]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +20, Макс. MP +80, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: Скорость +4, мощность физ./ маг. умений +7%]};{9;[+9 комплект: сопротивление безмолвию/ устрашению/ параличу/ шоку +5%]};{10;[+10 комплект: сопротивление маг. урону +15%, Маг. Защ. +7%]}}	setitem_group_end
setitem_group_begin	num=13	essential_setitem_id={{400;95084};{420;95092};{2436;95163}}	essential_setitem_desc={[Сопротивление параличу +10%];[Физ. Защ. +5.26%]}	additional_setitem_id={}	additional_setitem_desc={}	unk1=0	unk2=0	enchant_setitem_condition={{6;[+6 комплект: Макс. HP +20, Макс. MP +80, бонус восстановления HP +10 (сидя/ стоя), бонус восстановления MP +4 (сидя/ стоя), Маг. Защ. +30]};{7;[+7 комплект: Физ. Защ. +47, Маг. Защ. +28]};{8;[+8 комплект: Скорость +4, мощность физ./ маг. умений +7%]};{9;[+9 комплект: сопротивление безмолвию/ устрашению/ параличу/ шоку +5%]};{10;[+10 комплект: сопротивление маг. урону +15%, Маг. Защ. +7%]}}	setitem_group_end
