upgradesystem_begin	upgrade_id=1	upgrade_item={91244;5}	material_items={{1459;200}}	commission=2000000	result_item={91245;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=2	upgrade_item={91245;5}	material_items={{1460;1500}}	commission=10000000	result_item={91246;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=3	upgrade_item={91246;5}	material_items={{1460;5000}}	commission=50000000	result_item={91247;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=4	upgrade_item={902;10}	material_items={{91384;1}}	commission=10000000	result_item={91378;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=5	upgrade_item={864;10}	material_items={{91385;1}}	commission=10000000	result_item={91379;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=6	upgrade_item={895;10}	material_items={{91386;1}}	commission=10000000	result_item={91380;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=7	upgrade_item={893;10}	material_items={{91387;1}}	commission=10000000	result_item={91381;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=8	upgrade_item={871;10}	material_items={{91388;1}}	commission=10000000	result_item={91382;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=9	upgrade_item={862;10}	material_items={{91389;1}}	commission=10000000	result_item={91383;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10	upgrade_item={924;10}	material_items={{91554;1}}	commission=10000000	result_item={91553;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=11	upgrade_item={902;11}	material_items={{91384;1}}	commission=1000000	result_item={91378;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=12	upgrade_item={864;11}	material_items={{91385;1}}	commission=1000000	result_item={91379;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=13	upgrade_item={895;11}	material_items={{91386;1}}	commission=1000000	result_item={91380;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=14	upgrade_item={893;11}	material_items={{91387;1}}	commission=1000000	result_item={91381;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=15	upgrade_item={871;11}	material_items={{91388;1}}	commission=1000000	result_item={91382;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=16	upgrade_item={862;11}	material_items={{91389;1}}	commission=1000000	result_item={91383;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=17	upgrade_item={924;11}	material_items={{91554;1}}	commission=1000000	result_item={91553;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=18	upgrade_item={902;12}	material_items={{91384;1}}	commission=10000	result_item={91378;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=19	upgrade_item={864;12}	material_items={{91385;1}}	commission=10000	result_item={91379;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=20	upgrade_item={895;12}	material_items={{91386;1}}	commission=10000	result_item={91380;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=21	upgrade_item={893;12}	material_items={{91387;1}}	commission=10000	result_item={91381;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=22	upgrade_item={871;12}	material_items={{91388;1}}	commission=10000	result_item={91382;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=23	upgrade_item={862;12}	material_items={{91389;1}}	commission=10000	result_item={91383;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=24	upgrade_item={924;12}	material_items={{91554;1}}	commission=10000	result_item={91553;0}	applycountry={all}	upgradesystem_end
upgradesystem_begin	upgrade_id=10000	upgrade_item={71184;7}	material_items={{71212;3}}	commission=7777	result_item={71193;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10001	upgrade_item={71185;7}	material_items={{71212;3}}	commission=7777	result_item={71194;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10002	upgrade_item={71186;7}	material_items={{71212;2}}	commission=7777	result_item={71195;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10003	upgrade_item={71187;7}	material_items={{71212;2}}	commission=7777	result_item={71196;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10004	upgrade_item={71188;7}	material_items={{71212;2}}	commission=7777	result_item={71197;0}	applycountry={kr;j}	upgradesystem_end
upgradesystem_begin	upgrade_id=10005	upgrade_item={71189;7}	material_items={{71212;2}}	commission=7777	result_item={71198;0}	applycountry={kr;j}	upgradesystem_end
