variation_option_begin	mineral_item_id=94185	item_group_name=0	option_description1=[Скор. Атк. +5 ~ +100\nСкор. Маг. +5 ~ +100\nМощность физ. умений +1% ~ +5%\nМощность маг. умений +1% ~ +5%]	option_description2=[<font color="bbb58a">Физ. Атк. +10 ~ +220\nМаг. Атк. +10 ~ +270\nШанс Физ. Крит. Атк. +10 ~ +50</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94186	item_group_name=0	option_description1=[<font color="bbb58a">Скор. Атк. +10 ~ +150\nСкор. Маг. +10 ~ +150\nРасход MP -1% ~ -5%</font>\n<font color="e16d6d">Мощность всех умений +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Физ. Атк. +30 ~ +425\nМаг. Атк. +30 ~ +535</font>\n<font color="e16d6d">Сила Крит. Атк. всех умений +10 ~ +300\nУрон от Зарядов Души/ Зарядов Духа +1% ~ +5%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94209	item_group_name=0	option_description1=[Скор. Атк. +5 ~ +100\nСкор. Маг. +5 ~ +100\nМощность физ. умений +1% ~ +5%\nМощность маг. умений +1% ~ +5%]	option_description2=[<font color="bbb58a">Физ. Атк. +10 ~ +220\nМаг. Атк. +10 ~ +270\nШанс Физ. Крит. Атк. +10 ~ +50</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94210	item_group_name=0	option_description1=[<font color="bbb58a">Скор. Атк. +10 ~ +150\nСкор. Маг. +10 ~ +150\nРасход MP -1% ~ -5%</font>\n<font color="e16d6d">Мощность всех умений +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Физ. Атк. +30 ~ +425\nМаг. Атк. +30 ~ +535</font>\n<font color="e16d6d">Сила Крит. Атк. всех умений +10 ~ +300\nУрон от Зарядов Души/ Зарядов Духа +1% ~ +5%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=6	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=6	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>\n<font color="c170ca">Сопротивление атакам из лука и маг. урону +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>\n<font color="c170ca">Сопротивление отрицательным эффектам и аномальным состояниям +1% ~ +10%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=3	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=3	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>\n<font color="e16d6d">Получаемый урон -1% ~ -5%</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>\n<font color="c170ca">Получаемый крит. урон от всех атак -1% ~ -15%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=7	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=7	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=5	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=5	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>\n<font color="c170ca">Сопротивление оружию ближнего боя +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>\n<font color="c170ca">Шанс получения крит. урона от всех атак -1% ~ -15%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94187	item_group_name=4	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94188	item_group_name=4	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>\n<font color="c170ca">Уклонение от всех умений +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>\n<font color="84aed8">Скорость +1 ~ +5</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=6	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=6	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>\n<font color="c170ca">Сопротивление атакам из лука и маг. урону +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>\n<font color="c170ca">Сопротивление отрицательным эффектам и аномальным состояниям +1% ~ +10%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=3	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=3	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>\n<font color="c170ca">Получаемый урон -1% ~ -5%</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>\n<font color="c170ca">Получаемый крит. урон от всех атак -1% ~ -15%</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=7	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=7	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94211	item_group_name=5	option_description1=[Макс. HP +10 ~ +180\nМакс. MP +10 ~ +180]	option_description2=[<font color="bbb58a">Физ. Защ. +4 ~ +96\nМаг. Защ. +4 ~ +96</font>]	option_description3=[]	variation_option_end
variation_option_begin	mineral_item_id=94212	item_group_name=5	option_description1=[<font color="bbb58a">Макс. HP +25 ~ +480\nМакс. MP +25 ~ +480</font>\n<font color="c170ca">Сопротивление оружию ближнего боя +1% ~ +5%</font>]	option_description2=[<font color="bbb58a">Физ. Защ. +8 ~ +110\nМаг. Защ. +8 ~ +120</font>\n<font color="c170ca">Шанс получения крит. урона от всех атак -1% ~ -15%</font>]	option_description3=[]	variation_option_end
